id,cntry,stflife,happy,fltsd,fltdpr,enjlf,wrhpp,fltanx,fltpcfl,dclvlf,lchshcp,accdng,tmimdng,tmabdng,tmendng,dngval,sedirlf,optftr,lotsgot,pstvms,flrms,wrbknrm,deaimpp,flteeff,slprl,cldgng,enrglot,ppltrst,pplfair,pplhlp,pplahlp,flclpla,inprdsc,flapppl,rehlppl,fltlnl
12414,HU,5,2,2,2,2,3,2,2,2,4,2,8,8,8,2,8,1,2,4,3,2,10,2,2,1,2,5,8,10,4,2,4,10,6,2
12415,HU,5,5,1,1,1,2,1,2,1,3,2,10,10,10,2,10,3,2,2,3,3,10,1,2,3,3,0,5,0,4,2,3,10,5,2
12416,HU,6,8,1,1,1,4,1,4,2,2,3,5,5,5,2,8,3,2,3,4,4,5,1,1,3,1,5,8,5,5,2,3,9,6,3
12417,HU,3,6,1,2,3,4,1,3,2,4,2,8,8,8,2,5,3,2,3,3,2,3,1,2,1,3,3,3,1,4,3,2,7,5,1
12419,HU,5,10,2,2,2,3,1,3,4,2,2,10,10,10,2,5,2,3,4,3,2,1,2,2,2,1,5,5,1,6,2,1,10,6,2
12421,HU,6,7,1,1,4,4,1,4,2,4,1,10,10,8,1,10,3,2,2,3,1,6,2,4,1,3,8,10,6,2,3,4,8,6,1
12424,HU,5,8,1,1,3,3,1,4,1,4,2,10,10,10,2,8,2,3,2,5,5,5,1,1,1,3,6,3,6,3,1,2,10,5,1
12425,HU,6,7,2,2,3,3,2,3,2,3,3,6,7,7,2,10,1,2,1,5,2,6,2,2,1,3,5,7,5,4,2,3,7,5,1
12427,HU,6,7,3,2,1,2,4,2,2,3,4,9,9,8,2,8,5,4,2,3,3,5,2,3,4,1,6,4,5,2,2,1,4,5,4
12428,HU,4,8,2,1,2,3,2,3,3,3,2,6,6,4,3,5,2,3,2,5,4,5,1,1,1,3,5,4,7,3,4,2,5,3,3
12429,HU,8,7,2,1,2,3,1,3,2,4,2,7,7,7,2,7,2,3,2,4,5,3,1,1,1,3,5,4,4,4,2,2,8,5,1
12430,HU,9,8,2,3,4,2,2,2,1,4,2,9,10,9,3,6,3,2,3,4,5,8,3,4,1,1,6,5,6,5,3,3,8,6,4
12432,HU,5,8,2,2,3,3,2,3,3,3,2,8,8,8,2,10,3,3,3,4,3,6,2,2,2,3,6,4,5,3,3,4,5,4,1
12433,HU,0,0,4,4,4,2,2,2,4,2,2,10,10,10,1,10,3,2,3,3,2,0,4,4,2,3,5,5,0,0,2,1,5,3,3
12434,HU,5,7,2,3,2,3,4,3,3,2,2,10,10,10,2,8,4,2,4,2,4,0,3,4,4,2,3,0,0,5,2,3,8,5,4
12436,HU,2,3,4,4,2,2,4,1,4,3,4,9,10,9,2,6,3,2,4,1,3,5,2,3,3,2,7,2,5,4,3,3,2,3,4
12437,HU,5,5,4,3,3,3,3,3,1,2,3,6,5,5,3,10,2,2,2,3,3,8,3,3,4,3,5,5,5,6,3,1,10,6,4
12438,HU,7,10,1,3,2,3,1,4,1,3,1,10,10,10,1,10,2,2,2,5,5,8,1,2,1,2,3,5,5,6,1,6,10,6,1
12439,HU,4,8,1,1,4,4,1,4,1,1,1,9,9,9,3,9,2,1,1,5,2,6,1,1,1,3,3,5,5,5,1,2,8,6,1
12440,HU,5,5,2,2,2,2,2,3,3,3,2,8,8,8,2,8,3,3,3,4,2,7,1,2,2,2,6,6,6,5,2,3,10,6,2
12442,HU,4,5,1,1,3,3,1,3,1,4,1,10,10,10,1,10,4,2,2,5,4,3,1,2,1,3,0,3,3,6,1,2,10,6,1
12444,HU,7,8,1,2,3,3,1,3,2,4,2,8,8,7,2,8,2,2,2,4,3,6,2,2,1,2,5,7,5,5,2,2,9,6,1
